"['海淀', '清河']",金隅美和园,580,70422.5,"['2室1厅1卫', '中楼层 (共9层)', '82.36㎡', '平层', '71.4㎡', '板楼', '南', '钢混结构', '精装', '一梯三户', '集中供暖', '有']","['2020年06月22日', '限价商品房', '2010年04月22日', '普通住宅', '满五年', '非共有', '已上传房本照片']",69675元/㎡,2008年建成,板楼,13栋
"['东城', '崇文门']",国瑞城中区,850,102906,"['2室1厅1卫', '低楼层 (共16层)', '82.6㎡', '平层', '65.68㎡', '板塔结合', '南 北', '钢混结构', '精装', '两梯六户', '集中供暖', '有']","['2020年06月22日', '二类经济适用房', '2008年01月08日', '普通住宅', '满五年', '非共有', '已上传房本照片']",96190元/㎡,2005年建成,板楼/塔板结合,14栋
"['东城', '广渠门']",天利园,670,90822.8,"['2室1厅1卫', '中楼层 (共16层)', '73.77㎡', '平层', '板楼', '东北', '钢混结构', '简装', '一梯六户', '集中供暖', '有']","['2020年06月22日', '二类经济适用房', '2004年05月08日', '普通住宅', '满五年', '非共有', '已上传房本照片']",80143元/㎡,2000年建成,板楼,1栋
"['顺义', '顺义城']",港馨家园东区,375,29576.5,"['3室1厅1卫', '高楼层 (共6层)', '126.79㎡', '平层', '115.63㎡', '板楼', '南 北', '混合结构', '精装', '一梯两户', '集中供暖']","['2020年06月21日', '商品房', '2015年01月27日', '普通住宅', '满五年', '非共有', '已上传房本照片']",34417元/㎡,2007年建成,塔楼/板楼,32栋
"['西城', '马连道']",马连道中里,499,85357.5,"['1室1厅1卫', '底层 (共12层)', '58.46㎡', '平层', '板楼', '南 北', '钢混结构', '精装', '两梯二十二户', '集中供暖', '有']","['2020年06月21日', '商品房', '2018年12月13日', '普通住宅', '暂无数据', '非共有', '已上传房本照片']",92470元/㎡,1990年建成,塔楼/板楼,20栋
"['昌平', '天通苑']",天通苑北三区,450,40286.5,"['2室2厅2卫', '低楼层 (共7层)', '111.7㎡', '平层', '板楼', '南 北', '混合结构', '精装', '一梯三户', '集中供暖']","['2020年06月21日', '商品房', '2005年07月25日', '普通住宅', '满五年', '非共有', '已上传房本照片']",38168元/㎡,2003年建成,板楼,61栋
"['石景山', '古城']",中海金玺公馆,568,64530.8,"['2室1厅1卫', '中楼层 (共20层)', '88.02㎡', '平层', '板楼', '南', '钢混结构', '精装', '两梯四户', '集中供暖', '有']","['2020年06月21日', '商品房', '2018年04月19日', '普通住宅', '满两年', '非共有', '已上传房本照片']",67065元/㎡,2016年建成,板楼/塔板结合,14栋
"['朝阳', '亚运村小营']",育慧里二区,395,66108.8,"['2室1厅1卫', '顶层 (共6层)', '59.75㎡', '平层', '59.75㎡', '板楼', '东南 北', '混合结构', '精装', '一梯三户', '集中供暖']","['2020年06月21日', '已购公房', '2001年06月27日', '普通住宅', '满五年', '非共有', '已上传房本照片']",71142元/㎡,1988年建成,塔楼/板楼,19栋
"['朝阳', '国展']",左家庄北里,565,77122.6,"['2室1厅1卫', '高楼层 (共21层)', '73.26㎡', '平层', '73.26㎡', '塔楼', '南', '钢混结构', '其他', '两梯八户', '集中供暖', '有']","['2020年06月21日', '已购公房', '1998年11月02日', '普通住宅', '满五年', '非共有', '已上传房本照片']",68097元/㎡,1979年建成,塔楼/板楼/塔板结合,32栋
"['朝阳', '奥林匹克公园']",万科星园,860,79204.3,"['2室1厅1卫', '中楼层 (共13层)', '108.58㎡', '平层', '板塔结合', '西南', '钢混结构', '精装', '两梯六户', '自供暖', '有']","['2020年06月21日', '商品房', '2003年10月29日', '普通住宅', '满五年', '非共有', '已上传房本照片']",71900元/㎡,2000年建成,塔楼/板楼/塔板结合,17栋
"['朝阳', '双井']",乐成国际,1380,96896.5,"['3室2厅2卫', '高楼层 (共16层)', '142.42㎡', '平层', '116.94㎡', '板楼', '南 北', '钢混结构', '精装', '一梯两户', '集中供暖', '有']","['2020年06月21日', '商品房', '2006年12月22日', '普通住宅', '满五年', '共有', '已上传房本照片']",92608元/㎡,2005年建成,板楼,7栋
"['西城', '官园']",官苑8号,1530,162576,"['2室2厅1卫', '中楼层 (共16层)', '94.11㎡', '平层', '73.93㎡', '板塔结合', '东南', '钢混结构', '简装', '两梯六户', '集中供暖', '有']","['2020年06月21日', '商品房', '2016年05月27日', '普通住宅', '满两年', '共有', '已上传房本照片']",163188元/㎡,2006年建成,塔楼/塔板结合,7栋
"['朝阳', '双井']",百环家园,635,56823.3,"['2室1厅1卫', '中楼层 (共27层)', '111.75㎡', '平层', '92.59㎡', '塔楼', '东 北', '钢混结构', '简装', '四梯十二户', '集中供暖', '有']","['2020年06月21日', '商品房', '2020年04月03日', '普通住宅', '暂无数据', '非共有', '已上传房本照片']",55203元/㎡,2004年建成,塔楼/板楼/塔板结合/平房,20栋
"['昌平', '回龙观']",龙博苑一区,465,45481.2,"['3室1厅1卫', '中楼层 (共6层)', '102.24㎡', '平层', '91.29㎡', '板楼', '南 北', '混合结构', '精装', '一梯两户', '自供暖']","['2020年06月21日', '一类经济适用房', '2009年08月31日', '普通住宅', '满五年', '非共有', '已上传房本照片']",47492元/㎡,2004年建成,板楼,11栋
"['朝阳', '朝阳公园']",丽水嘉园,730,71039.3,"['2室2厅1卫', '底层 (共22层)', '102.76㎡', '平层', '83.87㎡', '塔楼', '西南', '钢混结构', '简装', '三梯六户', '自供暖', '有']","['2020年06月21日', '商品房', '2010年03月23日', '普通住宅', '满五年', '非共有', '已上传房本照片']",77184元/㎡,1997年建成,塔楼/板楼,8栋
"['海淀', '学院路']",清华东路27号院,510,79812.2,"['2室1厅1卫', '中楼层 (共7层)', '63.9㎡', '平层', '板楼', '南 北', '混合结构', '精装', '一梯两户', '集中供暖']","['2020年06月21日', '商品房', '2015年06月19日', '普通住宅', '满五年', '非共有', '已上传房本照片']",76174元/㎡,1990年建成,板楼,6栋
"['丰台', '和义']",和义西里二区,338,44397.7,"['3室1厅1卫', '高楼层 (共6层)', '76.13㎡', '平层', '67.13㎡', '板楼', '南 北', '混合结构', '精装', '一梯两户', '集中供暖']","['2020年06月21日', '商品房', '2012年11月20日', '普通住宅', '满五年', '非共有', '已上传房本照片']",46126元/㎡,1996年建成,板楼/平房,18栋
"['朝阳', '亚运村小营']",世纪村东区,566,73344.6,"['2室1厅1卫', '低楼层 (共6层)', '77.17㎡', '平层', '51.36㎡', '板楼', '南 北', '混合结构', '简装', '一梯三户', '集中供暖']","['2020年06月21日', '私产', '2018年05月14日', '普通住宅', '满两年', '非共有', '已上传房本照片']",70881元/㎡,1990年建成,塔楼/板楼/塔板结合,18栋
"['大兴', '旧宫']",云龙家园,279,39619.4,"['3室2厅1卫', '顶层 (共6层)', '70.42㎡', '平层', '59.86㎡', '板楼', '南 北', '混合结构', '简装', '一梯两户', '集中供暖']","['2020年06月21日', '商品房', '2015年11月27日', '普通住宅', '满两年', '非共有', '已上传房本照片']",44510元/㎡,2003年建成,板楼,22栋
"['朝阳', '十里堡']",八里庄南里,398,54223.4,"['2室1厅1卫', '中楼层 (共18层)', '73.4㎡', '平层', '塔楼', '东南', '钢混结构', '精装', '两梯七户', '集中供暖', '有']","['2020年06月21日', '已购公房', '2000年11月30日', '普通住宅', '满五年', '非共有', '已上传房本照片']",57338元/㎡,1985年建成,塔楼/板楼,22栋
"['朝阳', '双井']",首城国际D区,795,89719,"['2室1厅1卫', '中楼层 (共28层)', '88.61㎡', '平层', '69.17㎡', '板楼', '南', '钢混结构', '精装', '两梯四户', '集中供暖', '有']","['2020年06月21日', '商品房', '2011年11月12日', '普通住宅', '满五年', '非共有', '已上传房本照片']",88555元/㎡,2010年建成,板楼/塔板结合,3栋
"['石景山', '鲁谷']",远洋山水,660,60235.5,"['2室2厅1卫', '低楼层 (共26层)', '109.57㎡', '平层', '87.64㎡', '板塔结合', '东', '钢混结构', '简装', '两梯七户', '集中供暖', '有']","['2020年06月20日', '商品房', '2009年05月14日', '普通住宅', '满五年', '共有', '已上传房本照片']",64935元/㎡,2003年建成,塔楼/板楼/塔板结合,31栋
"['昌平', '西三旗']",旗胜家园,385,43468.4,"['2室1厅1卫', '顶层 (共16层)', '88.57㎡', '平层', '72.63㎡', '板塔结合', '南 北', '钢混结构', '精装', '两梯四户', '自供暖', '有']","['2020年06月20日', '限价商品房', '2010年08月31日', '普通住宅', '满五年', '非共有', '已上传房本照片']",45220元/㎡,2009年建成,塔板结合,19栋
"['朝阳', '双井']",天之骄子,878,80388.2,"['2室1厅2卫', '高楼层 (共22层)', '109.22㎡', '平层', '90.33㎡', '板楼', '南', '钢混结构', '精装', '两梯四户', '集中供暖', '有']","['2020年06月20日', '商品房', '2015年06月29日', '普通住宅', '满两年', '共有', '已上传房本照片']",73432元/㎡,2005年建成,板楼/塔板结合,8栋
"['朝阳', '安贞']",安贞里,410,68367.5,"['2室1厅1卫', '顶层 (共6层)', '59.97㎡', '平层', '52㎡', '板楼', '东 西', '砖混结构', '精装', '一梯两户', '集中供暖']","['2020年06月20日', '已购公房', '2009年11月20日', '普通住宅', '满五年', '非共有', '已上传房本照片']",75756元/㎡,1982年建成,塔楼/板楼/塔板结合,60栋
"['丰台', '旧宫']",万源东里,265,52894.2,"['1室1厅1卫', '顶层 (共4层)', '50.1㎡', '平层', '板楼', '南', '混合结构', '简装', '一梯三户', '集中供暖']","['2020年06月20日', '央产房', '2019年11月20日', '普通住宅', '暂无数据', '非共有', '已上传房本照片']",45032元/㎡,1960年建成,板楼,45栋
"['朝阳', '酒仙桥']",电子城小区,428,57395.7,"['2室1厅1卫', '中楼层 (共24层)', '74.57㎡', '平层', '59.27㎡', '塔楼', '西北', '钢混结构', '精装', '三梯十一户', '集中供暖', '有']","['2020年06月20日', '商品房', '2015年01月16日', '普通住宅', '满五年', '共有', '已上传房本照片']",49655元/㎡,2001年建成,塔楼/板楼,16栋
