,Unnamed: 0,title,location,house_type,house_code,price,tags,lease,area,orientation,floor,elevator,stall,water,electricity,fuel_gas,heating,facility,description
23,23,整租·保利中央公园 4室2厅 南/北,朝阳-望京-保利中央公园,4室2厅2卫,BJ1621513393305288704,"25500元/月
            (季付价)","近地铁,精装,集中供暖,双卫生间,随时看房",整租,144.88㎡,南 北,低楼层/25层,有,暂无数据,民水,民电,有,集中供暖,"空调,衣柜,热水器,暖气,宽带,天然气",【户型介绍】此房为南北通透四居，双卧朝南，客厅在中间，动静分离，适合和与父母或者孩子居住，【周边配套】小区周边都是高端写字楼，西边是大望京公园，距离地铁15号线望京东站大月700米左右，小区内部道路直通机场高速，出行非常方便。【小区介绍】京城五环内美式中 央公园社区，CB D，公园与住宅的完 美融合，真正具备国 际级建筑风范。小区是24小时门岗，独梯独户，隐私性，安全性强
24,24,整租·金隅凤麟洲 1室0厅 东,朝阳-朝青-金隅凤麟洲,1室0厅0卫,BJ1621496531322404864,"5200元/月
            (季付价)","精装,集中供暖",整租,38.00㎡,东,中楼层/9层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",【交通出行】社区门口有共享单车方便出行，社区距离朝阳站公交站台600米（根据高德地图数据），距离北京朝阳高铁站500米，地铁3号线朝阳站站（在建）800米，交通便捷【周边配套】小区购物方便，姚家园菜市场，活力东方购物广场，华润万象汇新开业，西侧有3万平米的公园，是天然的氧吧，姚家园公园，京城休闲公园 医疗配套全面，姚家园社区卫生服务所，和睦家医院，民航总医院【小区介绍】社区是2008年北京金隅集团开发，物业也是自己配套金海燕物业，少有的低密度矮板楼花园洋房，社区分为东区和西区，东区人车分流、物业管家式服务、人性化管理，园区有24小时保安值勤，社区配套3万平生态公园，是天然氧吧
25,25,整租·富力又一城C区 1室0厅 南,朝阳-豆各庄-富力又一城C区,1室0厅1卫,BJ1621459817765797888,"4250元/月
            (季付价)","近地铁,精装,随时看房",整租,47.00㎡,南,中楼层/21层,有,租用车位,民水,民电,有,自采暖,"洗衣机,空调,衣柜,冰箱,热水器,床,宽带",【交通出行】距小区最近的地铁站是7号线延长线黄厂站，小区出门还有457路公交，348路以及411路公交，小区西边是五环路，北边是京哈高速，出行自驾游很方便。【周边配套】小区南边有马家湾湿地公园，适合散步遛弯及运动，环境清新舒适；附近有北京银行，招商银行，建设银行等，有物美，客隆，华联等超市；有路家小馆、大东北饭店、杨国福麻辣烫、老家肉饼、庆丰包子铺、虾吃虾涮、宽板凳，菜篮子，百果园等，丰富您的生活。【小区介绍】小区占地面积约36公顷，总建筑面积115万平方米，其中住宅面积76万平方米，主要以板楼，塔楼为主，开发商自己的物业，北京恒富物业服务有限公司，小区人车分流，总户数6598户，停车位5612个，社区配套成熟。
26,26,整租·爱这城一期 2室1厅 西/北,朝阳-四惠-爱这城一期,2室1厅1卫,BJ1621482550369189888,"10000元/月
            (季付价)","精装,集中供暖,随时看房",整租,106.00㎡,西 北,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",【交通出行】区从北门出就是朝阳路，有十里堡公交车站。从西门出往西南方向走就能到地铁一号线四惠站。开车从东四环进朝阳路往东即到。【周边配套】小区北门就有水果超市，盒马鲜生。附近还有万科时代，苏宁，未来汇，物美超市，生活很方便。【小区介绍】小区是封闭是管理，24小时保安值班，刷卡进门。市政集中供暖，24小时热水
27,27,整租·领地OFFICE 3室1厅 西南,朝阳-北苑-领地OFFICE,3室1厅1卫,BJ1621428535048536064,"18000元/月
            (季付价)","近地铁,精装,集中供暖",整租,141.26㎡,西南,中楼层/17层,有,暂无数据,民水,民电,有,集中供暖,"空调,暖气",【交通出行】小区东侧是北苑路，西侧是安立路，两条主干道开车出行很便利； 出小区向北侧是五号线立水桥南地铁站，更有464、621、751、620等十多路公交车通过；【周边配套】小区1号楼底商有招商银行，药店，便利店，附近还有易事达购物广场，K酷，上品，周边的银行招行，建行，北京农商，浦发，医院有北京航空航天总医院，清华长庚医院。周边配套齐全，满足日常生活需求。【小区介绍】小区由北京城建集团开发，城建弘通物业； 整个小区一共三栋楼，1号楼东西向的板楼三个单元；2号楼南北向的板楼，三个单元；3号楼是塔楼。
28,28,整租·领地OFFICE 3室1厅 东南,朝阳-北苑-领地OFFICE,3室1厅1卫,BJ1621428095737135104,"20000元/月
            (季付价)","近地铁,精装,集中供暖",整租,160.62㎡,东南,中楼层/17层,有,暂无数据,民水,民电,有,集中供暖,"空调,暖气,天然气",【交通出行】小区东侧是北苑路，西侧是安立路，两条主干道开车出行很便利； 出小区向北侧是五号线立水桥南地铁站，更有464、621、751、620等十多路公交车通过；【周边配套】小区1号楼底商有招商银行，药店，便利店，附近还有易事达购物广场，K酷，上品，周边的银行招行，建行，北京农商，浦发，医院有北京航空航天总医院，清华长庚医院。周边配套齐全，满足日常生活需求。【小区介绍】小区由北京城建集团开发，城建弘通物业； 整个小区一共三栋楼，1号楼东西向的板楼三个单元；2号楼南北向的板楼，三个单元；3号楼是塔楼。
29,29,整租·中海城紫鑫阁 2房间 东,朝阳-成寿寺-中海城紫鑫阁,2房间1卫,BJ1621425181291446272,"5800元/月
            (季付价)","近地铁,精装,集中供暖,随时看房,非居住房屋",整租,48.00㎡,东,低楼层/23层,有,暂无数据,民水,民电,有,集中供暖,,【交通出行】交通便利，距离十号线成寿寺地铁站步行距离95米（数据来源高德地图）。步行距离郭家村公交站174米（数据来源高德地图）（郭家村公交站停靠128路、25路、665路、680路、821路、93路、985路、990路、夜23路公交车）【周边配套】中海城小区底商类别齐全有超市、餐饮、美容美发、足疗等。直线距离1000米内有建行、中行、北京农商银行（数据来源高德地图）。直线距离1000米内有北京金桥医院及城外城社区卫生服务站等医疗机构（数据来源高德地图）。【小区介绍】物业是中海物业，小区管理比较好，集中供暖，热水、中水，小区内共3栋楼，周边配套齐全。
30,30,整租·摩码大厦 1室0厅 西,朝阳-团结湖-摩码大厦,1室0厅1卫,BJ1621393356712050688,"7200元/月
            (季付价)","近地铁,精装,集中供暖",整租,51.00㎡,西,中楼层/20层,有,租用车位,民水,民电,无,集中供暖,"空调,热水器,暖气,宽带",【房源亮点】房子可用来居住，可用来办公，一房多用，房子装修很不错，很干净整洁。【户型介绍】房子是朝西的，屋子里面方方正正，10来人办公没有问题，用来做一个小工作室刚刚好。【交通出行】出了摩码大厦，向东走400米（出自百度地图）就是金台路地铁站，交通很方便，周边小吃也很多。
31,31,整租·三里屯SOHO 2室1厅 西北,朝阳-三里屯-三里屯SOHO,2室1厅2卫,BJ1621403388283453440,"25000元/月
            (季付价)","精装,集中供暖,双卫生间,随时看房",整租,155.15㎡,西北,高楼层/23层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,床,暖气,天然气",
32,32,整租·优士阁 1室1厅 西,朝阳-劲松-优士阁,1室1厅1卫,BJ1625755741480550400,10000元/月,"精装,集中供暖",整租,70.77㎡,西,中楼层/30层,有,暂无数据,民水,民电,无,集中供暖,空调,
33,33,整租·国美第一城2号院 3室2厅 南/北,朝阳-朝青-国美第一城2号院,3室2厅2卫,BJ1625767909370363904,"12000元/月
            (季付价)","精装,集中供暖,双卫生间",整租,139.00㎡,南 北,低楼层/27层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气",【交通出行】小区紧邻地铁6号线青年路地铁站；公交车有499路，494路，468路、运通111路，122路等公交路线，多路公交车通往团结湖，酒仙桥，大望路等，出行十分便捷。【周边配套】小区周边配套设施齐全，有国美餐饮街，网红小吃，还有电影院，KTV等，距离小区最近的是朝阳大悦城和达美商业中心，其次是家乐福，奥特莱斯，娱乐购物方便，可以满足您和您家人的所有生活需求。【小区介绍】小区是06到07年的商品房，分为四期，小区物业是天岳恒物业公司，小区成立了业主委员会，和物业一起努力打造和谐的居住环境，小区属于封闭式小区，出入需要门禁，且人车分流，采暖是地暖。
34,34,整租·小营路5号 3室2厅 东,朝阳-亚运村小营-小营路5号,3室2厅2卫,BJ1625742710440722432,"17000元/月
            (季付价)","精装,集中供暖,双卫生间",整租,157.00㎡,东,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,"空调,衣柜,热水器,暖气,天然气",【房源亮点】房源是2020年新翻修，现在目前小营路5号唯一房源，里面是中央空调，镶嵌衣柜，现在报价是17000，价钱可以商量，看房提前预约，业主住附近。【交通出行】小区西门出去往北100米就有小营北路公交站，有425路到达南坞方向，569路到达北京会议，596路到达清河方向694到达六圈路西口方向，东门出来100米有育慧西里站，往东方向步行1000米到达15号线关庄站，往西北方向步行1000米到5号线【周边配套】周边配套成熟，生活出行都很便利，小区旁边就有惠邻超市，海纳川超市，幸福超市，旁边各种饭馆和便利店，3公里范围还有大型商场未来广场，华堂商场等，有中国银行 交通银行 北京银行 工商银行等，生活很方便。
35,35,整租·慧谷阳光 1室0厅 北,朝阳-望京-慧谷阳光,1室0厅1卫,BJ1625735540089290752,"7500元/月
            (季付价)","近地铁,精装,集中供暖",整租,52.09㎡,北,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",【户型介绍】此房户型是慧谷阳光北向开间，格局方正，没有浪费面积，适合一个人或者情侣居住。【交通出行】小区出西门是公交望京东园站，途径471路和536路，出北门是地铁15号线望京东站，出行方便【小区介绍】慧谷阳光是2004年的板楼有电梯社区，小区共11栋楼，楼栋之间都种植有绿植，适合饭后散步。
36,36,整租·石佛营西里小区 1室1厅 东/西,朝阳-石佛营-石佛营西里小区,1室1厅1卫,BJ1625709840867262464,"4700元/月
            (季付价)","精装,集中供暖,随时看房",整租,47.16㎡,东 西,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",
37,37,整租·润枫水尚西区 2室1厅 南/北,朝阳-朝青-润枫水尚西区,2室1厅1卫,BJ1625705069238288384,"8500元/月
            (季付价)","近地铁,精装,集中供暖,随时看房",整租,85.00㎡,南 北,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",
38,38,整租·新纪家园 1室1厅 东,朝阳-太阳宫-新纪家园,1室1厅1卫,BJ1625733575020118016,"8800元/月
            (季付价)","精装,集中供暖",整租,65.00㎡,东,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",【交通出行】本房所在小区 交通出行便利，出小区 步行249米（来源于百度地图）即是太阳宫 地铁站；出小区步行232米（来源于百度地图）即是夏家园公交车站【周边配套】本房小区所在位置配套齐全，附近有 凯德Mall、爱琴海、比如 世界、凤凰汇等购物娱乐场所。医院有中日友好医院、望京医院、煤炭医院等。银行有广发银行、北京银行、工商银行、中信银行等。仅 需步行4 14米（数据来自于高德地图）就是太阳宫公园【小区介绍】本房所在小区是2002年建成，小区属于半封闭式 小区，人车不分流，保安 24小时站岗，小区内有许多 便民设施
39,39,整租·复地国际公寓 1房间 东,朝阳-东大桥-复地国际公寓,1房间1卫,BJ1625722406897188864,"6400元/月
            (季付价)","精装,集中供暖,非居住房屋",整租,48.50㎡,东,中楼层/23层,有,租用车位,商水,商电,无,集中供暖,"衣柜,床,暖气",
40,40,整租·乐成国际 2室1厅 南,朝阳-双井-乐成国际,2室1厅1卫,BJ1625722061324288000,"14500元/月
            (季付价)","近地铁,精装,集中供暖",整租,108.00㎡,南,高楼层/16层,有,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,床,暖气,天然气",
41,41,整租·松榆西里 2室1厅 南/北,朝阳-潘家园-松榆西里,2室1厅1卫,BJ1625718224064610304,"6400元/月
            (季付价)","近地铁,集中供暖",整租,62.46㎡,南 北,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床",
42,42,整租·地杰长安驿 1室0厅 西,朝阳-建国门外-地杰长安驿,1室0厅1卫,BJ1625510730914594816,"7000元/月
            (季付价)","近地铁,精装,集中供暖",整租,43.76㎡,西,中楼层/30层,有,租用车位,民水,民电,无,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,床,暖气,宽带",【交通出行】距离地铁1号线永安里站620米，可换乘2号线等；距离日坛路公交站400米，此车站有1号路、9号路、43路、58路、120路等公交（数据均来自高德地图).【周边配套】周边购物：秀水街，世贸天阶，悠唐购物中心，贵友大厦，蓝岛大厦。日坛公园，庆丰公园，CBD城市森林公园都在步行范围内。中国银行、光大银行。周边酒店，万豪，长富宫，宜必思，亚朵等【小区介绍】封闭式小区，地杰物业，管理好，04年拿地，09年建成，70年产权商品房。小区内有喷泉广场，下沉广场，配有健身器材的小花园。民水民电，集中供暖，小区共2栋住宅楼，地下两层停车位。位置好，楼龄新，交通方便。
43,43,整租·10AM新坐标 1室0厅 西,朝阳-方庄-10AM新坐标,1室0厅1卫,BJ1625491638878994432,"4500元/月
            (季付价)","近地铁,精装,集中供暖",整租,27.71㎡,西,中楼层/29层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带",【交通出行】地铁：14号线方庄站464米左右，上接5号线蒲黄榆站，下连10号线十里河站，去东单和国贸都比较方便。（距离来自高德地图 ） 公交：左安门外公交站500米左右，有122路，51路，684路，特12内环，特12外环等。（距离来自高德地图）【周边配套】超市：京东便利店，物美超市，家乐福超市。 公园：龙潭湖公园，方庄体育公园。 商场：新业广场和新城广场。【小区介绍】新坐标小区建于2005年，相比于周边小区，房龄较年轻。小区以小户型为主，面积从27平得星河开间到112平的上下两层复式
44,44,整租·砖角楼南里 2室1厅 南/北,朝阳-和平里-砖角楼南里,2室1厅1卫,BJ1625482487129964544,"7100元/月
            (季付价)","精装,集中供暖",整租,50.40㎡,南 北,中楼层/16层,有,暂无数据,民水,民电,有,集中供暖,"衣柜,床,暖气,宽带,天然气",【装修描述】业主自住装修，闲置出租，房子干净整洁 ，居住温馨舒适【交通出行】距地铁13号线柳芳站388m，5号线2号线雍和宫站1.4km（数据来源百度地图），距116路，123路，130路公交站东土城路站31m（数据来源百度地图）【周边配套】小区靠近地坛公园，周边医院有和平里医院、玛丽妇婴医院。商场有美廉美超市、燕丰商场和天丰利商场。银行有光大银行、工商银行、交通银行和农业银行
45,45,整租·山水文园二期 4室2厅 南/北,朝阳-华威桥-山水文园二期,4室2厅3卫,BJ1625482038771449856,"28000元/月
            (半年付价)","近地铁,精装,集中供暖",整租,223.00㎡,南 北,高楼层/9层,有,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",【交通出行】小区位于东三与东四环之间 ，出门小区北门向西直行就是东三环，交通便捷。地铁站为10号线 与14号线交汇处的十里河站，距离国贸地铁站只有三站，出行方便。【周边配套】餐厅：106餐厅、玉林烤鸭店、呷哺、云南菜。 超市：双龙超市、永辉超市。 购物中心：燕莎奥特莱斯购物中心、合生汇、红星美凯龙等。 医疗配套：双龙医院、肿瘤医院 、垂杨柳医院 ，朝阳中西结合医院，朝阳区 休闲娱乐配套：欢乐谷。【小区介绍】山水文园在东南三环至四环之间，1.36的低容积率，本房是小高层塔楼，一梯两户，园林景观设计，绿化高达68%。小区封闭式管理，进出园区和单元门都需要刷卡，24小时保安物业和热水，人车分流的高品质社区。
